vitesse,danger
80,0
145,1
12,0
199,1
63,0
101,1
5,0
178,1
94,0
200,1
47,0
156,1
33,0
118,1
2,0
167,1
73,0
130,1
88,0
140,1
19,0
102,1
57,0
190,1
96,0
154,1
28,0
111,1
69,0
176,1
13,0
123,1
92,0
187,1
41,0
132,1
76,0
198,1
34,0
147,1
55,0
160,1
7,0
115,1
82,0
173,1
24,0
121,1
68,0
191,1
39,0
134,1
11,0
170,1
59,0
105,1
72,0
165,1
26,0
149,1
84,0
177,1
14,0
125,1
98,0
188,1
43,0
136,1
66,0
192,1
31,0
108,1
79,0
162,1
20,0
144,1
53,0
181,1
9,0
120,1
87,0
174,1
36,0
155,1
64,0
197,1
17,0
113,1
90,0
186,1
48,0
128,1
71,0
168,1
3,0
139,1
108,1
79,0
162,1
20,0
